"module name","name","version","description","licenses","licenseFile","licenseModified"
"@ampproject/remapping@2.2.0","@ampproject/remapping","2.2.0","Remap sequential sourcemaps through transformations to point at the original source code","Apache-2.0","node_modules/@ampproject/remapping/LICENSE",""
"@apidevtools/json-schema-ref-parser@9.1.0","@apidevtools/json-schema-ref-parser","9.1.0","Parse, Resolve, and Dereference JSON Schema $ref pointers","MIT","node_modules/@apidevtools/json-schema-ref-parser/LICENSE",""
"@apidevtools/openapi-schemas@2.1.0","@apidevtools/openapi-schemas","2.1.0","JSON Schemas for every version of the OpenAPI Specification","MIT","node_modules/@apidevtools/openapi-schemas/LICENSE",""
"@apidevtools/swagger-methods@3.0.2","@apidevtools/swagger-methods","3.0.2","HTTP methods that are supported by Swagger 2.0","MIT","node_modules/@apidevtools/swagger-methods/LICENSE",""
"@apidevtools/swagger-parser@10.0.3","@apidevtools/swagger-parser","10.0.3","Swagger 2.0 and OpenAPI 3.0 parser and validator for Node and browsers","MIT","node_modules/@apidevtools/swagger-parser/LICENSE",""
"@babel/code-frame@7.18.6","@babel/code-frame","7.18.6","Generate errors that contain a code frame that point to source locations.","MIT","node_modules/@babel/code-frame/LICENSE",""
"@babel/compat-data@7.20.10","@babel/compat-data","7.20.10",">","MIT","node_modules/@babel/compat-data/LICENSE",""
"@babel/core@7.20.7","@babel/core","7.20.7","Babel compiler core.","MIT","node_modules/@babel/core/LICENSE",""
"@babel/generator@7.20.7","@babel/generator","7.20.7","Turns an AST into code.","MIT","node_modules/@babel/generator/LICENSE",""
"@babel/helper-compilation-targets@7.20.7","@babel/helper-compilation-targets","7.20.7","Helper functions on Babel compilation targets","MIT","node_modules/@babel/helper-compilation-targets/LICENSE",""
"@babel/helper-environment-visitor@7.18.9","@babel/helper-environment-visitor","7.18.9","Helper visitor to only visit nodes in the current 'this' context","MIT","node_modules/@babel/helper-environment-visitor/LICENSE",""
"@babel/helper-function-name@7.19.0","@babel/helper-function-name","7.19.0","Helper function to change the property 'name' of every function","MIT","node_modules/@babel/helper-function-name/LICENSE",""
"@babel/helper-hoist-variables@7.18.6","@babel/helper-hoist-variables","7.18.6","Helper function to hoist variables","MIT","node_modules/@babel/helper-hoist-variables/LICENSE",""
"@babel/helper-module-imports@7.18.6","@babel/helper-module-imports","7.18.6","Babel helper functions for inserting module loads","MIT","node_modules/@babel/helper-module-imports/LICENSE",""
"@babel/helper-module-transforms@7.20.11","@babel/helper-module-transforms","7.20.11","Babel helper functions for implementing ES6 module transformations","MIT","node_modules/@babel/helper-module-transforms/LICENSE",""
"@babel/helper-plugin-utils@7.20.2","@babel/helper-plugin-utils","7.20.2","General utilities for plugins to use","MIT","node_modules/@babel/helper-plugin-utils/LICENSE",""
"@babel/helper-simple-access@7.20.2","@babel/helper-simple-access","7.20.2","Babel helper for ensuring that access to a given value is performed through simple accesses","MIT","node_modules/@babel/helper-simple-access/LICENSE",""
"@babel/helper-split-export-declaration@7.18.6","@babel/helper-split-export-declaration","7.18.6",">","MIT","node_modules/@babel/helper-split-export-declaration/LICENSE",""
"@babel/helper-string-parser@7.19.4","@babel/helper-string-parser","7.19.4","A utility package to parse strings","MIT","node_modules/@babel/helper-string-parser/LICENSE",""
"@babel/helper-validator-identifier@7.19.1","@babel/helper-validator-identifier","7.19.1","Validate identifier/keywords name","MIT","node_modules/@babel/helper-validator-identifier/LICENSE",""
"@babel/helper-validator-option@7.18.6","@babel/helper-validator-option","7.18.6","Validate plugin/preset options","MIT","node_modules/@babel/helper-validator-option/LICENSE",""
"@babel/helpers@7.20.7","@babel/helpers","7.20.7","Collection of helper functions used by Babel transforms.","MIT","node_modules/@babel/helpers/LICENSE",""
"@babel/highlight@7.18.6","@babel/highlight","7.18.6","Syntax highlight JavaScript strings for output in terminals.","MIT","node_modules/@babel/highlight/LICENSE",""
"@babel/parser@7.20.7","@babel/parser","7.20.7","A JavaScript parser","MIT","node_modules/@babel/parser/LICENSE",""
"@babel/plugin-syntax-async-generators@7.8.4","@babel/plugin-syntax-async-generators","7.8.4","Allow parsing of async generator functions","MIT","node_modules/@babel/plugin-syntax-async-generators/LICENSE",""
"@babel/plugin-syntax-bigint@7.8.3","@babel/plugin-syntax-bigint","7.8.3","Allow parsing of BigInt literals","MIT","node_modules/@babel/plugin-syntax-bigint/LICENSE",""
"@babel/plugin-syntax-class-properties@7.12.13","@babel/plugin-syntax-class-properties","7.12.13","Allow parsing of class properties","MIT","node_modules/@babel/plugin-syntax-class-properties/LICENSE",""
"@babel/plugin-syntax-import-meta@7.10.4","@babel/plugin-syntax-import-meta","7.10.4","Allow parsing of import.meta","MIT","node_modules/@babel/plugin-syntax-import-meta/LICENSE",""
"@babel/plugin-syntax-json-strings@7.8.3","@babel/plugin-syntax-json-strings","7.8.3","Allow parsing of the U+2028 LINE SEPARATOR and U+2029 PARAGRAPH SEPARATOR in JS strings","MIT","node_modules/@babel/plugin-syntax-json-strings/LICENSE",""
"@babel/plugin-syntax-jsx@7.18.6","@babel/plugin-syntax-jsx","7.18.6","Allow parsing of jsx","MIT","node_modules/@babel/plugin-syntax-jsx/LICENSE",""
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","@babel/plugin-syntax-logical-assignment-operators","7.10.4","Allow parsing of the logical assignment operators","MIT","node_modules/@babel/plugin-syntax-logical-assignment-operators/LICENSE",""
